coin_symbol,korean_name
KAVA,카바
BTC,비트코인
USDC,유에스디코인
USDT,테더
ZBC,지벡
MANTA,만타네트워크
SOL,솔라나
XRP,리플
ETH,이더리움
SUI,수이
UMA,우마
TDROP,티드랍
SEI,세이
ETC,이더리움클래식
ACE,퓨저니스트
TEMCO,템코
ENTC,엔터버튼
BLUR,블러
WOM,왐토큰
LINK,체인링크
ARB,아비트럼
KLAY,클레이튼
WLD,월드코인
STX,스택스
DOGE,도지코인
ADA,에이다
ZTX,지티엑스
TIA,셀레스티아
BSV,비트코인에스브이
ASTR,아스타
WEMIX,위믹스
MIX,믹스마블
RLC,아이젝
VALOR,밸러토큰
ALEX,알렉스
STRAX,스트라티스
AVAX,아발란체
MATIC,폴리곤
SAND,샌드박스
DOT,폴카닷
FLZ,펠라즈
AGI,델리시움
GXA,갤럭시아
FNSA,핀시아
API3,에이피아이쓰리
VELO,벨로프로토콜
TRX,트론
BCH,비트코인캐시
TAVA,알타바
ROA,로아코어
ALT,아치루트
CTSI,카르테시
MTL,메탈
BIGTIME,빅타임
PENDLE,펜들
ASM,어셈블프로토콜
CHZ,칠리즈
T,쓰레스홀드
MAP,맵프로토콜
NMR,뉴메레르
EOS,이오스
BTG,비트코인골드
APM,에이피엠코인
YFI,연파이낸스
RAD,래드웍스
ONT,온톨로지
MAV,매버릭프로토콜
POLA,폴라리스쉐어
CRTS,크라토스
CRV,커브
SHIB,시바이누
APT,앱토스
CTXC,코르텍스
AXS,엑시인피니티
HIGH,하이스트리트
BNB,비앤비
GHX,게이머코인
XLM,스텔라루멘
YGG,일드길드게임즈
INJ,인젝티브
MANA,디센트럴랜드
ORBS,오브스
WAVES,웨이브
MINA,미나
XEC,이캐시
GALA,갈라
LM,레저메타
ZIL,질리카
OP,옵티미즘
FRONT,프론티어
CELO,셀로
IOTX,아이오텍스
BIOT,바이오패스포트
RNDR,렌더토큰
ACS,액세스프로토콜
ALGO,알고랜드
QTUM,퀀텀
ARKM,아캄
BOA,보아
ATOM,코스모스
IMX,이뮤터블엑스
GRACY,그레이시
GMT,스테픈
AZIT,아지트
LEVER,레버파이
GAL,갤럭시
EGG,네스트리
MVC,마일벌스
POWR,파워렛저
OAS,오아시스
ONG,온톨로지가스
NPT,네오핀
FXS,프랙스셰어
ANKR,앵커
LOOM,룸네트워크
MLK,밀크
DAR,마인즈오브달라니아
FET,페치
TFUEL,쎄타퓨엘
LDO,리도다오
WAXL,엑셀라
CTK,셴투
GRT,더그래프
DYDX,디와이디엑스
FITFI,스텝앱
MBX,마브렉스
SOFI,라이파이낸스
CFX,콘플럭스
BTT,비트토렌트
FLUX,플럭스
BFC,바이프로스트
VIX,빅스코
MXC,머신익스체인지코인
RDNT,라디언트캐피탈
ELF,엘프
ORC,오르빗체인
XCN,오닉스코인
SNT,스테이터스네트워크토큰
SIX,식스
RSR,리저브라이트
XTZ,테조스
ILV,일루비움
SNX,신세틱스
MASK,마스크네트워크
EL,엘리시아
LBL,레이블
AAVE,에이브
JASMY,재스미코인
FLR,플레어
BORA,보라
CKB,너보스
BLY,블로서리
META,메타디움
WAXP,왁스
ICX,아이콘
MEV,미버스
OSMO,오스모시스
CTC,크레딧코인
VET,비체인
EGLD,멀티버스엑스
CSPR,캐스퍼
ADP,어댑터토큰
RLY,랠리
PYR,불칸포지드
XPLA,엑스플라
WOO,우네트워크
FX,펑션엑스
FLOKI,플로키
CYBER,사이버커넥트
FLOW,플로우
HOOK,훅트프로토콜
SXP,솔라
ARPA,알파
ACH,알케미페이
QTCON,퀴즈톡
SWAP,트러스트스왑
DVI,디비전
BOBA,보바토큰
AGIX,싱귤래리티넷
PEPE,페페
MKR,메이커
AMO,아모코인
THETA,쎄타토큰
COS,콘텐토스
LPT,라이브피어
XVS,비너스
RSS3,알에스에스쓰리
DAO,다오메이커
STAT,스탯
RPL,로켓풀
AUDIO,오디우스
STORJ,스토리지
EDU,오픈캠퍼스
RVN,레이븐코인
CON,코넌
CHR,크로미아
GRND,슈퍼워크
UOS,울트라
MAGIC,매직
VRA,베라시티
STEEM,스팀
HIVE,하이브
FIT,300피트네트워크
WIKEN,위드
IOST,이오스트
C98,코인98
LRC,루프링
WNCG,랩트나인크로니클골드
KSM,쿠사마
COMP,컴파운드
ID,스페이스아이디
STG,스타게이트파이낸스
HFT,해시플로우
GLM,골렘
BAL,밸런서
EVZ,이브이지
REI,레이
CAKE,팬케이크스왑
FTM,팬텀
OXT,오키드
XPR,프로톤
HBAR,헤데라
FANC,팬시
CRO,크로노스
ALICE,마이네이버앨리스
FCT2,피르마체인
ENJ,엔진코인
SUSHI,스시스왑
ZRX,제로엑스
BAT,베이직어텐션토큰
AQT,알파쿼크
SFP,세이프팔
DAI,다이
JOE,트레이더조
SPURS,토트넘홋스퍼
MBL,무비블록
KNC,카이버네트워크
OGN,오리진프로토콜
REQ,리퀘스트
BEL,벨라프로토콜
OCEAN,오션프로토콜
OBSR,옵저버
NCT,폴리스웜
MED,메디블록
HIFI,하이파이
ONIT,온버프
STMX,스톰엑스
MOC,모스코인
STPT,에스티피
NFT,에이피이앤에프티
UNI,유니스왑
SSX,썸씽
PUNDIX,펀디엑스
GMX,지엠엑스
1INCH,1인치
SUN,썬
APE,에이프코인
COTI,코티
BNT,뱅코르
CELR,셀러네트워크
PLA,플레이댑
AERGO,아르고
JST,저스트
