coin_symbol,korean_name
WEMIX,위믹스주 거래주의 
BTC,비트코인
XRP,리플
CTC,크레딧코인
ETH,이더리움
SOL,솔라나
SUI,수이
ETC,이더리움클래식
SEI,세이
FIL,파일코인
USDC,유에스디코인
DOGE,도지코인
CFG,센트리퓨즈주 거래주의 
TRX,트론
TIA,셀레스티아
ICP,인터넷컴퓨터주 거래주의 
WLD,월드코인
STX,스택스
AUCTION,바운스브랜드주 거래주의 
KLAY,클레이튼
BLUR,블러
BCH,비트코인캐시
CRV,커브
DOT,폴카닷
SHIB,시바이누
PEPE,페페주 거래주의 
LINK,체인링크
UMA,우마
ADA,카르다노
SAND,샌드박스
EOS,이오스
ENS,이더리움네임서비스주 거래주의 
AVAX,아발란체
ARB,아비트럼
INJ,인젝티브
YFI,연파이낸스
MED,메디블록
GRT,더그래프
MANA,디센트럴랜드
XLM,스텔라루멘
MATIC,폴리곤
STORJ,스토리지
XPLA,엑스플라
AXS,엑시인피니티
ASTR,아스타
HBAR,헤데라
ALGO,알고랜드
ATOM,코스모스
OP,옵티미즘
BNB,비엔비
ISK,이스크라
OAS,오아시스
TDROP,티드랍
XEC,이캐시
CHZ,칠리즈
MINA,미나
NEAR,니어프로토콜주 거래주의 
BTT,비트토렌트주 거래주의 
HVH,하바
GALA,갈라
VET,비체인
SGB,송버드
POKT,포켓네트워크
AR,알위브
ZIL,질리카
APT,앱토스
EGLD,멀티버스엑스
OHM,올림푸스다오V2주 거래주의 
BFC,바이프로스트
KSP,클레이스왑프로토콜주 거래주의 
COMP,컴파운드
BSV,비트코인SV주 거래주의 
FLOW,플로우
WAXL,엑셀라주 거래주의 
SUSHI,스시스왑
OSMO,오스모시스주 거래주의 
QTUM,퀀텀
IMX,이뮤터블엑스
LDO,리도다오
CYBER,사이버커넥트
APE,에이프코인
KDA,카데나주 거래주의 
ILV,일루비움주 거래주의 
RON,로닌주 거래주의 
XTZ,테조스
MKR,메이커
DAI,다이
YGG,일드길드게임즈주 거래주의 
1INCH,1인치
WAXP,왁스
NPT,네오핀
GMT,스테픈
AUDIO,오디우스
UNI,유니스왑
CVX,컨벡스파이낸스주 거래주의 
GTC,깃코인
ENJ,엔진코인
BNT,뱅코르
GMX,지엠엑스
NU,누사이퍼
ALPHA,스텔라
NMR,뉴메레르주 거래주의 
SYN,시냅스주 거래주의 
BORA,보라
ROSE,오아시스네트워크
AERGO,아르고
BAT,베이직어텐션토큰
LPT,라이브피어
THETA,쎄타토큰
FTM,팬텀
KSM,쿠사마
AAVE,에이브
LRC,루프링
INDEX,인덱스코퍼레티브
CELO,셀로
DYDX,디와이디엑스
GAL,갤럭시
LOOKS,룩스레어
OCEAN,오션프로토콜
GLMR,문빔주 거래주의 
RARE,수퍼레어
ONE,하모니
RUNE,토르체인
RPL,로켓풀
FET,페치주 거래주의 
WBTC,랩트비트코인
SNX,신세틱스
BAND,밴드프로토콜주 거래주의 
AMP,앰프
RLY,랠리
HNT,헬륨주 거래주의 
RARI,라리블
PERP,퍼페튜얼프로토콜
BAL,발란서
GNO,노시스주 거래주의 
MNT,맨틀주 거래주의 
